"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","17067","336","6603","18030","1690"
"02","15664","292","5932","16513","1576"
"03","17946","310","6681","18059","1869"
"04","19452","353","7424","19815","1977"
"05","19554","347","7444","19667","2061"
"06","17977","321","6718","18010","1940"
"07","18955","358","6941","19577","2068"
"08","18398","336","6892","19108","2017"
"09","17883","375","6491","18344","1926"
"10","19918","440","7435","20106","2094"
"11","19234","416","7111","19583","1826"
"12","18869","408","6791","19471","1930"
