"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","15905","389","6886","16229","1213"
"02","14061","325","5976","14376","1149"
"03","18420","358","7609","18553","1552"
"04","18443","341","7671","18036","1616"
"05","20314","398","8601","20031","2052"
"06","18530","367","7711","18203","1826"
"07","19649","407","8259","19352","1985"
"08","19603","359","8203","20440","1990"
"09","19243","445","8058","19041","1953"
"10","20760","470","8804","20374","2021"
"11","19872","476","7981","19674","1870"
"12","18752","427","7288","19066","1848"
