"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","16902","381","6980","17146","1761"
"02","14939","296","6268","15294","1437"
"03","18616","378","7550","18571","1800"
"04","19386","354","7717","19800","1914"
"05","20543","389","8324","20727","2213"
"06","18649","390","7312","18300","1857"
"07","20278","359","8007","20153","2249"
"08","19864","405","7991","20351","2276"
"09","20811","387","8154","20808","2294"
"10","21587","470","8731","21456","2249"
"11","21170","410","8160","21525","2088"
"12","19290","402","7328","19515","2094"
