"월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"01","16552","296","5487","17249","1533"
"02","14752","203","4772","16410","1430"
"03","18133","252","5806","19390","1712"
"04","19104","286","6224","20305","1909"
"05","20779","305","6573","22332","2172"
"06","18968","279","6057","20139","2119"
"07","19234","241","5885","20392","2076"
"08","19992","253","6182","21953","2223"
"09","19331","287","5917","20711","2118"
"10","21690","337","6953","22790","2307"
"11","21517","297","6567","22887","2169"
"12","19548","313","5883","20966","2114"
